Year,Conference,Team,Games,Win,Loss,Off.Rank,Off.TDs,First.Down.Rank,Redzone.Off.Rank,Touchdowns.Allowed,Touchdowns,Total.Points,Points.Per.Game,Time.of.Possession.Rank,Win.Ratio,Scoring.Ratio
2017,Mountain West,Utah St. (MWC),13,6,7,68,41,92,38,43,48,392,30.2,120,0.462,0.857
2017,C-USA,UTEP (C-USA),12,0,12,129,16,103,111,60,19,141,11.8,112,0.000,0.943
2017,C-USA,UTSA (C-USA),11,6,5,82,26,1,79,24,29,259,23.5,9,0.545,0.784
2017,SEC,Vanderbilt (SEC),12,5,7,102,41,58,70,48,41,295,24.6,82,0.417,0.973
2017,ACC,Virginia (ACC),13,6,7,106,35,51,99,49,38,293,22.5,54,0.462,0.908
2017,ACC,Virginia Tech (ACC),13,9,4,53,40,7,102,24,45,366,28.2,12,0.692,0.861
2017,ACC,Wake Forest (ACC),13,8,5,17,55,121,7,45,57,459,35.3,119,0.615,0.869
2017,Pac-12,Washington (Pac-12),13,10,3,58,56,18,73,24,62,471,36.2,96,0.769,0.921
2017,Pac-12,Washington St. (Pac-12),13,9,4,33,45,16,43,41,48,394,30.3,17,0.692,0.853
2017,Big 12,West Virginia (Big 12),13,7,6,20,55,95,44,50,59,449,34.5,116,0.538,0.920
2017,C-USA,Western Ky. (C-USA),13,6,7,69,42,58,115,42,43,331,25.5,81,0.462,0.909
2017,MAC,Western Mich. (MAC),12,6,6,78,45,23,65,47,52,407,33.9,50,0.500,0.894
2017,Big Ten,Wisconsin (Big Ten),14,13,1,51,53,5,56,21,60,473,33.8,2,0.929,0.888
2017,Mountain West,Wyoming (MWC),13,8,5,125,31,49,2,27,37,305,23.5,109,0.615,0.849
